STCOUNTYFP,RISK_SCORE,EAL_SCORE,ERQK_RISKS,RFLD_RISKS,CFLD_RISKS,HRCN_RISKS,TRND_RISKS,WFIR_RISKS,WNTW_RISKS,HWAV_RISKS,DRGT_RISKS,HAIL_RISKS,SWND_RISKS,RFLD_EALS,ERQK_EALS,CFLD_EALS,HRCN_EALS,TRND_EALS,WFIR_EALS,WNTW_EALS,HWAV_EALS,DRGT_EALS,HAIL_EALS,SWND_EALS
31011,28.125994272987597,33.61188486536676,11.772192173083042,58.41552656697423,,,47.34330257715558,24.40343620744512,83.13713013044861,33.916640152720326,84.02799872733057,81.4826598790964,28.666878778237358,63.38594862271742,12.875270813989475,,,54.62158808933002,27.012408526885135,86.47477561126587,37.852058186320015,86.5074441687345,83.37468982630271,35.14267990074442
31013,20.362710785873368,20.953265242958835,25.64428889595927,7.286032453070315,,,35.22112631244034,42.793509385937,85.23703468024179,0.0,66.1151765828826,57.206490614063,28.03054406617881,7.428040854224697,24.450634478489636,,,36.817617866004966,42.348075087496014,84.58681522748374,0.0,67.61786600496278,58.064516129032256,29.497518610421835
31015,5.408845052497614,7.087588981739399,7.095132039452752,38.14826598790964,,,15.972001272669424,49.793191218580965,60.10181355392936,20.044543429844097,60.165447025135215,60.674514794782056,23.767101495386573,41.96843082636954,7.861343237387805,,,20.37841191066997,51.28857779191854,66.17146394305169,22.284122562674096,63.244416873449126,65.2605459057072,29.590570719602976
31017,8.208717785555201,9.501702259362428,11.549475023862552,0.0,,,21.985364301622653,60.006363347120576,56.188355074769326,27.426026089723194,51.76582882596246,83.29621380846325,30.38498250079542,0.0,11.544413494274218,,,24.503722084367247,60.006363347120576,58.557722067471374,29.464562055091303,53.41191066997519,83.40570719602978,33.46774193548387
31019,79.44638880050907,79.26338594862273,28.380528157811007,84.02799872733057,,,81.32357620108179,50.5249761374483,90.61406299713649,40.02545338848233,93.63665287941457,98.56824689786829,97.23194400254532,84.86536675951719,28.19560507582792,,,82.32009925558313,51.384027998727326,90.77684927267102,42.43268337975859,93.57940446650124,98.54218362282879,97.20843672456576
31021,32.77123767101495,33.45713401423708,10.7858733693923,11.835825644288896,,,51.988545975182944,52.65669742284441,46.96150174992046,31.21221762647152,82.78714603881642,93.31848552338528,38.62551702195354,12.968121324667289,10.70875889817394,,,54.9937965260546,52.274896595609285,49.891674404209226,33.519034354688955,83.560794044665,93.4863523573201,42.245657568238215
31023,38.561883550747694,48.12751470133087,15.176582882596248,22.780782691695837,,,53.00668151447662,18.740057270124087,43.748011454024805,32.07126948775056,80.97359210944958,95.25930639516386,39.83455297486478,27.669452181987005,16.372640049520275,,,61.228287841191054,23.576201081769007,50.26307644692047,36.30454967502321,85.23573200992556,96.43300248138958,48.60421836228288
31025,41.99809099586383,49.829774063757355,18.294622971683104,62.647152402163535,,,70.98313713013044,32.42125357938275,52.7521476296532,31.657651924912507,83.20076360165446,76.1056315622017,60.57906458797328,67.471371092541,19.931909625502943,,,76.70595533498758,35.762010817690104,59.33147632311977,36.1188486536676,87.18982630272954,80.02481389578163,68.57940446650123
31027,32.89850461342666,39.523367378520575,11.294941139039134,22.17626471524021,,,44.925230671333125,54.05663378937321,87.01877187400572,34.934775692014,84.56888323258033,91.40948138720967,35.12567610563156,26.307644692045805,12.411018260600432,,,52.63647642679901,55.48838689150492,89.69359331476323,39.55431754874652,87.46898263027295,93.0210918114144,44.230769230769226
31029,42.666242443525285,38.37821108016094,7.858733693923003,11.708558701877188,,,32.00763601654471,3.277123767101495,56.31562201718104,26.3760738148266,71.30130448615972,95.92745784282533,62.965319758192805,11.946765707211393,7.149489322191272,,,32.97146401985111,2.799872733057589,55.77220674713711,27.452800990405446,70.71960297766749,95.31637717121588,61.35235732009926
